,loss,val_loss,reward,epsilon
0,101550783.24427997,98562012.9240751,-149916186.55,0.9261
1,106316430.46653546,98346210.36498529,-147904592.43,0.8523
2,109333734.41551822,111499601.5743828,-118721535.27,0.7785
3,108816316.02397108,103454397.83268735,-103657113.51,0.7046
4,101306604.2370165,105169406.91967183,-109763038.01,0.6308
5,97095384.15117048,109195101.14136969,-107473485.09,0.557
6,97386324.65794735,91721103.25248303,-128785982.26,0.4833
7,101095911.22132035,94637704.93199983,-124318928.76,0.41
8,106015130.87978041,100154869.76949753,-91380315.98,0.3367
9,99548999.52012567,91282981.08121607,-47098382.87,0.2638
10,98388040.49165076,100005765.45542955,-33401284.68,0.1911
11,95893164.75262405,100767889.53596987,10868634.91,0.1184
12,85824847.33101535,87854619.48329163,82064511.1,0.0461
13,81703066.66640109,108767318.67934053,221594075.64,0.01
14,201085266.3877323,93452261.95924859,244846729.55,0.01
15,72275218.29779866,80214841.70798567,251333707.36,0.01
16,71411955.83192913,69323183.78824635,227849023.22,0.01
17,61283439.28547387,64653724.14846304,194842710.19,0.01
18,67062222.73879419,61744777.07957101,201031238.3,0.01
19,54241319.02344185,51731712.448789805,201073979.53,0.01
